keyword,line1,line2,line3,line4,line5,score,type
pride,There was a brave boy named jolie,Whose father actually loved me.,"There is life like a dream,","I actually scream,",As i put out two fires in my tree.,-4.221062417541232,SINGLE_STORY
cheat,There was a lazy man named chun,Who put all his money in a gun.,"He would go to a game,","Take a shot at my name,",And say something to my face in fun.,-3.0089812021363866,DTS_STORY
forest,There once was a man named dewitt,Whose family never disturbed it.,"There is life like a dream,","It usually seem,",As he passed out two nights in his pit.,-4.596801157508578,SINGLE_STORY
school,There was a stupid boy named britt,Whose father actually did it.,"There is stuff like a kid,","He actually did,",As it turned out three times in his bit.,-4.064409979369624,SINGLE_STORY
planet,There was a wise lady named blair,Who lived all her life in a nightmare.,"She came back from the moon,","She was saved by a spoon,",She was able to live and to bear.,-2.889235140346555,DTS_STORY
flower,There was a lucky boy named kit,Whose father actually cut it.,"There is luck like a dream,","It actually seem,",As he went out three times in his fit.,-4.52337292262486,SINGLE_STORY
airplane,There was a technician named claire,Whose name immediately stuck there.,"There is stuff like a book,","He actually took,",As it turned out two books in his care.,-4.243697623539317,SINGLE_STORY
boxing,There was a fierce actor named everette,Who lost all his money in a bet.,"He came back from the dead,","With a suit on his head,",And the world on the edge of the net.,-2.4811168790740123,DTS_NO_STORY
law,There once was a nice lady named yer,Whose life passed far easier than her.,"She lived out two decades,","In a quiet hades,",And died on the fiery transfer.,-4.250113802927512,SINGLE_NO_STORY
opera,There was a actor named humberto,Who played a big role on our show.,"He came back from the dead,","He was able to read,",He was willing to learn and to grow.,-2.37392036926758,DTS_NO_STORY
death,There was a brave boy named maire,Whose father actually lived there.,"There is stuff like a guy,","He actually die,",As he was out two days in his hair.,-4.279001904385431,SINGLE_STORY
monster,There was a fierce girl named un,Whose mother always swallowed someone.,"There is fire like a flame,","It literally came,",As she cried out three times in her son.,-4.474509442225099,SINGLE_STORY
doctor,There was a doctor named grace,Who did a great job on our case.,"He came back from the dead,","He was able to read,",And now he has a permanent place.,-2.6163251879775236,DTS_NO_STORY
gun,There once was a nice lady named lee,Whose heart broke much earlier than me.,"She went out one morning,","In a sudden mourning,",And died on the usual sunday.,-3.4731887722456896,SINGLE_NO_STORY
applaud,There was a humble judge named jay,Who welcomed a young man on his way.,"The woman of his praise,","He was struck by her gaze,",And she whispered something almost say.,-3.7299557010332745,DTS_STORY
flower,There was a lucky boy named shea,Who cut a big deal on his birthday.,"He came back from the dead,","With a scar on his head,",With a new life of crime on his way.,-2.606875827864689,DTS_NO_STORY
exercise,There once was a teacher named yer,Whose class really motivated her.,"There is stuff like a kid,","She actually did,",As she walked out three times in her fur.,-4.38656690290996,SINGLE_STORY
doctor,There was a dentist named grace,Who did a great job on our face.,"I would say to a friend,","Take a look at our end,",And that is the beauty of this case.,-2.8342834069873346,DTS_STORY
creativity,There once was a nice lady named lee,Whose name meant perhaps better than me.,"She lived out one summer,","In a little drummer,",And played on the funeral sunday.,-4.21158989712044,SINGLE_NO_STORY
death,There once was a nice lady named lee,Whose soul lived somewhere higher than me.,"She was out one morning,","In a quiet mourning,",And came on the beautiful sunday.,-3.9878721678698503,SINGLE_NO_STORY
exercise,There once was a teacher named rey,Who learned a new language each day.,"It was for her birthday,","She was happy to say,",Because she was writing her essay.,-2.690936118364334,DTS_NO_STORY
useful,There once was a cleaner named dewitt,Whose father once recommended it.,"There is smoke like a fire,","He recently retire,",As he was out two nights in his pit.,-4.592387880597796,SINGLE_STORY
angry,There was a loud lady named yee,Whose name really disappointed me.,"There is stuff like a lot,","She actually thought,",As she looked out three times in her tree.,-4.200438527124269,SINGLE_STORY
home,There once was a nice lady named yer,Whose house had always older than her.,"She lived out one bedroom,","In a tiny bathroom,",And was on the regular transfer.,-3.7821051235552186,SINGLE_NO_STORY
dog,There was a husky boy named chun,Whose mother always wanted someone.,"There is smoke like a flame,","He usually came,",As he called out three times in his run.,-4.344411697770868,SINGLE_STORY
